time,actor,id,durationOrDestinationId
4,T,0,-1
4,T,0,3
4,S,3,6
7,T,1,-1
7,T,1,0
7,S,0,5
8,T,2,-1
8,T,2,1
8,S,1,5
10,T,3,-1
10,T,3,3
10,S,3,9
13,T,4,-1
13,T,4,1
13,S,1,11
18,T,5,-1
18,T,5,0
18,S,0,15
20,T,6,-1
20,T,6,3
20,S,3,7
22,T,7,-1
22,T,7,2
22,S,2,14
26,T,8,-1
26,T,8,1
26,S,1,14
29,T,9,-1
29,T,9,3
29,S,3,9
30,T,10,-1
30,T,10,4
30,S,4,6
31,T,11,-1
33,T,11,0
33,S,0,13
36,T,12,-1
36,T,12,2
36,S,2,7
38,T,13,-1
38,T,13,3
38,S,3,13
42,T,14,-1
42,T,14,1
42,S,1,15
47,T,15,-1
47,T,15,2
47,S,2,10
48,T,16,-1
48,T,16,0
48,S,0,14
53,T,17,-1
53,T,17,3
53,S,3,15
58,T,18,-1
58,T,18,2
58,S,2,10
63,T,19,-1
63,T,19,0
63,S,0,12
64,T,20,-1
64,T,20,1
64,S,1,6
69,T,21,-1
69,T,21,2
69,S,2,14
73,T,22,-1
73,T,22,1
73,S,1,13
76,T,23,-1
76,T,23,3
76,S,3,9
81,T,24,-1
81,T,24,0
81,S,0,15
84,T,25,-1
84,T,25,2
84,S,2,11
89,T,26,-1
89,T,26,1
89,S,1,12
90,T,27,-1
90,T,27,3
90,S,3,14
94,T,28,-1
94,T,28,4
94,S,4,11
98,T,29,-1
98,T,29,0
98,S,0,11
99,T,30,-1
99,T,30,2
99,S,2,15
104,T,31,-1
104,T,31,1
104,S,1,15
109,T,32,-1
109,T,32,0
109,S,0,16
110,T,33,-1
110,T,33,3
110,S,3,7
114,T,34,-1
114,T,34,2
114,S,2,5
116,T,35,-1
116,T,35,4
116,S,4,13
119,T,36,-1
119,T,36,3
119,S,3,13
122,T,37,-1
122,T,37,2
122,S,2,15
127,T,38,-1
127,T,38,0
127,S,0,13
130,T,39,-1
130,T,39,1
130,S,1,10
133,T,40,-1
133,T,40,3
133,S,3,8
135,T,41,-1
135,T,41,4
135,S,4,14
136,T,42,-1
137,T,42,2
137,S,2,16
138,T,43,-1
140,T,43,0
140,S,0,10
141,T,44,-1
141,T,44,1
141,S,1,15
145,T,45,-1
145,T,45,3
145,S,3,10
149,T,46,-1
149,T,46,4
149,S,4,14
153,T,47,-1
153,T,47,2
153,S,2,8
157,T,48,-1
157,T,48,3
157,S,3,14
158,T,49,-1
158,T,49,0
158,S,0,10
160,T,50,-1
160,T,50,1
160,S,1,14
162,T,51,-1
162,T,51,2
162,S,2,11
167,T,52,-1
167,T,52,4
167,S,4,9
169,T,53,-1
169,T,53,0
169,S,0,16
173,T,54,-1
173,T,54,2
173,S,2,8
175,T,55,-1
175,T,55,1
175,S,1,13
177,T,56,-1
177,T,56,3
177,S,3,7
179,T,57,-1
179,T,57,4
179,S,4,11
180,T,58,-1
181,T,58,2
181,S,2,15
185,T,59,-1
185,T,59,3
185,S,3,6
188,T,60,-1
188,T,60,1
188,S,1,5
189,T,61,-1
189,T,61,0
189,S,0,16
190,T,62,-1
190,T,62,4
190,S,4,9
192,T,63,-1
192,T,63,3
192,S,3,6
196,T,64,-1
196,T,64,2
196,S,2,9
201,T,65,-1
201,T,65,3
201,S,3,14
206,T,66,-1
206,T,66,1
206,S,1,16
208,T,67,-1
208,T,67,2
208,S,2,10
211,T,68,-1
211,T,68,0
211,S,0,10
214,T,69,-1
214,T,69,4
214,S,4,11
216,T,70,-1
216,T,70,3
216,S,3,9
218,T,71,-1
218,T,71,2
218,S,2,13
221,T,72,-1
221,T,72,0
221,S,0,9
226,T,73,-1
226,T,73,1
226,S,1,10
228,T,74,-1
228,T,74,3
228,S,3,10
232,T,75,-1
232,T,75,2
232,S,2,15
237,T,76,-1
237,T,76,1
237,S,1,16
240,T,77,-1
240,T,77,0
240,S,0,11
242,T,78,-1
242,T,78,3
242,S,3,14
243,T,79,-1
243,T,79,4
243,S,4,6
248,T,80,-1
248,T,80,2
248,S,2,16
249,T,81,-1
249,T,81,4
249,S,4,5
254,T,82,-1
254,T,82,0
254,S,0,9
255,T,83,-1
255,T,83,1
255,S,1,14
256,T,84,-1
256,T,84,3
256,S,3,8
259,T,85,-1
259,T,85,4
259,S,4,12
260,T,86,-1
263,T,86,0
263,S,0,5
265,T,87,-1
265,T,87,2
265,S,2,10
269,T,88,-1
269,T,88,0
269,S,0,12
271,T,89,-1
271,T,89,3
271,S,3,9
272,T,90,-1
272,T,90,1
272,S,1,7
276,T,91,-1
276,T,91,2
276,S,2,16
278,T,92,-1
278,T,92,4
278,S,4,16
279,T,93,-1
279,T,93,1
279,S,1,11
284,T,94,-1
284,T,94,3
284,S,3,10
285,T,95,-1
285,T,95,0
285,S,0,11
288,T,96,-1
290,T,96,1
290,S,1,13
291,T,97,-1
292,T,97,2
292,S,2,16
296,T,98,-1
296,T,98,0
296,S,0,10
297,T,99,-1
297,T,99,3
297,S,3,16
300,T,100,-1
300,T,100,4
300,S,4,14
305,T,101,-1
305,T,101,1
305,S,1,9
306,T,102,-1
306,T,102,0
306,S,0,13
311,T,103,-1
311,T,103,2
311,S,2,5
314,T,104,-1
314,T,104,1
314,S,1,8
317,T,105,-1
317,T,105,3
317,S,3,15
318,T,106,-1
318,T,106,2
318,S,2,11
323,T,107,-1
323,T,107,0
323,S,0,12
324,T,108,-1
324,T,108,1
324,S,1,16
328,T,109,-1
328,T,109,4
328,S,4,5
333,T,110,-1
333,T,110,3
333,S,3,5
334,T,111,-1
334,T,111,2
334,S,2,5
335,T,112,-1
335,T,112,0
335,S,0,9
336,T,113,-1
336,T,113,4
336,S,4,14
341,T,114,-1
341,T,114,3
341,S,3,7
343,T,115,-1
343,T,115,2
343,S,2,13
346,T,116,-1
346,T,116,1
346,S,1,5
351,T,117,-1
351,T,117,1
351,S,1,6
356,T,118,-1
356,T,118,0
356,S,0,14
361,T,119,-1
361,T,119,2
361,S,2,5
363,T,120,-1
363,T,120,1
363,S,1,16
367,T,121,-1
367,T,121,3
367,S,3,6
371,T,122,-1
371,T,122,2
371,S,2,10
373,T,123,-1
373,T,123,0
373,S,0,10
378,T,124,-1
378,T,124,3
