time,actor,id,durationOrDestinationId
1,T,0,-1
1,T,0,1
1,S,1,12
2,T,1,-1
2,T,1,2
2,S,2,5
4,T,2,-1
4,T,2,3
4,S,3,13
5,T,3,-1
5,T,3,0
5,S,0,9
7,T,4,-1
7,T,4,2
7,S,2,14
9,T,5,-1
9,T,5,4
9,S,4,11
10,T,6,-1
10,T,6,0
13,T,7,-1
13,T,7,1
13,S,1,15
14,S,0,5
17,T,8,-1
17,T,8,3
17,S,3,12
22,T,9,-1
22,T,9,0
22,S,0,13
23,T,10,-1
23,T,10,2
23,S,2,8
26,T,11,-1
26,T,11,4
26,S,4,5
31,T,12,-1
31,T,12,2
31,S,2,10
32,T,13,-1
32,T,13,1
32,S,1,14
35,T,14,-1
35,T,14,0
35,S,0,5
37,T,15,-1
37,T,15,3
37,S,3,11
42,T,16,-1
42,T,16,0
42,S,0,10
45,T,17,-1
45,T,17,2
45,S,2,13
48,T,18,-1
48,T,18,3
48,S,3,11
49,T,19,-1
49,T,19,1
49,S,1,13
53,T,20,-1
53,T,20,0
53,S,0,16
58,T,21,-1
58,T,21,2
58,S,2,15
62,T,22,-1
62,T,22,1
62,S,1,16
65,T,23,-1
65,T,23,3
65,S,3,5
67,T,24,-1
67,T,24,4
67,S,4,16
68,T,25,-1
68,T,25,0
69,S,0,9
73,T,26,-1
73,T,26,3
73,S,3,5
75,T,27,-1
75,T,27,2
75,S,2,5
77,T,28,-1
77,T,28,2
80,S,2,7
81,T,29,-1
81,T,29,0
81,S,0,5
86,T,30,-1
86,T,30,3
86,S,3,15
90,T,31,-1
90,T,31,2
90,S,2,10
91,T,32,-1
91,T,32,0
91,S,0,16
92,T,33,-1
92,T,33,1
92,S,1,10
96,T,34,-1
96,T,34,4
96,S,4,10
99,T,35,-1
99,T,35,1
102,T,36,-1
102,T,36,2
102,S,2,9
102,S,1,13
106,T,37,-1
106,T,37,3
106,S,3,15
108,T,38,-1
108,T,38,0
108,S,0,15
111,T,39,-1
111,T,39,2
111,S,2,5
116,T,40,-1
116,T,40,2
116,S,2,15
117,T,41,-1
117,T,41,1
117,S,1,5
122,T,42,-1
122,T,42,3
122,S,3,9
123,T,43,-1
123,T,43,0
123,S,0,11
125,T,44,-1
125,T,44,1
125,S,1,7
127,T,45,-1
127,T,45,4
127,S,4,9
130,T,46,-1
130,T,46,1
132,S,1,14
133,T,47,-1
133,T,47,2
133,S,2,10
138,T,48,-1
138,T,48,0
138,S,0,15
142,T,49,-1
142,T,49,3
142,S,3,6
144,T,50,-1
144,T,50,2
144,S,2,15
148,T,51,-1
148,T,51,1
148,S,1,12
152,T,52,-1
152,T,52,3
152,S,3,11
156,T,53,-1
156,T,53,0
156,S,0,16
159,T,54,-1
159,T,54,2
159,S,2,11
163,T,55,-1
163,T,55,1
163,S,1,9
165,T,56,-1
165,T,56,3
165,S,3,12
170,T,57,-1
170,T,57,2
170,S,2,10
173,T,58,-1
173,T,58,0
173,S,0,6
176,T,59,-1
176,T,59,1
176,S,1,7
177,T,60,-1
177,T,60,3
177,S,3,11
182,T,61,-1
182,T,61,0
182,S,0,14
184,T,62,-1
184,T,62,2
184,S,2,16
187,T,63,-1
187,T,63,1
187,S,1,10
192,T,64,-1
192,T,64,3
192,S,3,13
197,T,65,-1
197,T,65,1
197,S,1,13
201,T,66,-1
201,T,66,2
201,S,2,9
204,T,67,-1
204,T,67,0
204,S,0,15
208,T,68,-1
208,T,68,3
208,S,3,10
213,T,69,-1
213,T,69,1
213,S,1,10
217,T,70,-1
217,T,70,2
217,S,2,15
222,T,71,-1
222,T,71,0
222,S,0,15
226,T,72,-1
226,T,72,3
226,S,3,14
228,T,73,-1
228,T,73,1
228,S,1,11
231,T,74,-1
231,T,74,4
231,S,4,10
232,T,75,-1
232,T,75,2
232,S,2,5
236,T,76,-1
236,T,76,3
240,T,77,-1
240,T,77,1
240,S,1,7
240,S,3,16
242,T,78,-1
242,T,78,0
242,S,0,14
247,T,79,-1
247,T,79,2
247,S,2,10
248,T,80,-1
248,T,80,1
248,S,1,5
249,T,81,-1
249,T,81,4
249,S,4,7
252,T,82,-1
252,T,82,4
254,T,83,-1
254,T,83,1
254,S,1,15
256,T,84,-1
256,S,4,11
256,T,84,3
256,S,3,11
259,T,85,-1
259,T,85,0
259,S,0,6
261,T,86,-1
261,T,86,2
261,S,2,6
263,T,87,-1
263,T,87,4
264,T,88,-1
264,T,88,2
267,S,4,6
267,S,2,8
268,T,89,-1
268,T,89,0
268,S,0,8
269,T,90,-1
269,T,90,1
269,S,1,11
271,T,91,-1
271,T,91,3
271,S,3,6
273,T,92,-1
273,T,92,4
273,S,4,16
276,T,93,-1
276,T,93,0
276,S,0,6
278,T,94,-1
278,T,94,2
278,S,2,8
282,T,95,-1
282,T,95,1
282,S,1,15
285,T,96,-1
285,T,96,0
285,S,0,8
289,T,97,-1
289,T,97,2
289,S,2,9
292,T,98,-1
292,T,98,3
292,S,3,13
294,T,99,-1
294,T,99,0
294,S,0,14
298,T,100,-1
298,T,100,2
298,S,2,15
300,T,101,-1
300,T,101,1
300,S,1,11
304,T,102,-1
304,T,102,4
304,S,4,10
306,T,103,-1
306,T,103,3
306,S,3,9
309,T,104,-1
309,T,104,0
309,S,0,7
310,T,105,-1
310,T,105,0
312,T,106,-1
312,T,106,1
312,S,1,12
316,T,107,-1
316,T,107,2
316,S,2,8
316,S,0,14
319,T,108,-1
319,T,108,3
319,S,3,9
324,T,109,-1
324,T,109,1
324,S,1,8
329,T,110,-1
329,T,110,3
329,S,3,16
331,T,111,-1
331,T,111,2
331,S,2,7
332,T,112,-1
332,T,112,1
332,S,1,16
335,T,113,-1
335,T,113,0
335,S,0,8
340,T,114,-1
340,T,114,2
340,S,2,12
342,T,115,-1
342,T,115,4
342,S,4,7
347,T,116,-1
347,T,116,0
347,S,0,7
351,T,117,-1
351,T,117,3
351,S,3,5
352,T,118,-1
352,T,118,2
352,S,2,16
356,T,119,-1
356,T,119,3
356,S,3,16
361,T,120,-1
361,T,120,1
361,S,1,6
364,T,121,-1
364,T,121,0
364,S,0,9
369,T,122,-1
369,T,122,1
369,S,1,15
370,T,123,-1
370,T,123,2
370,S,2,10
372,T,124,-1
372,T,124,3
372,S,3,12
376,T,125,-1
376,T,125,0
376,S,0,6
381,T,126,-1
381,T,126,2
381,S,2,7
383,T,127,-1
383,T,127,0
383,S,0,6
384,T,128,-1
384,T,128,3
