time,actor,id,durationOrDestinationId
1,T,0,-1
1,T,0,0
1,S,0,15
5,T,1,-1
5,T,1,2
5,S,2,5
7,T,2,-1
7,T,2,1
7,S,1,11
12,T,3,-1
12,T,3,2
12,S,2,5
17,T,4,-1
17,T,4,0
17,S,0,12
21,T,5,-1
21,T,5,2
21,S,2,12
24,T,6,-1
24,T,6,3
24,S,3,13
25,T,7,-1
25,T,7,1
25,S,1,11
30,T,8,-1
30,T,8,0
30,S,0,12
32,T,9,-1
33,T,9,2
33,S,2,11
35,T,10,-1
36,T,10,1
36,S,1,10
38,T,11,-1
38,T,11,3
38,S,3,14
41,T,12,-1
42,T,12,0
42,S,0,10
46,T,13,-1
46,T,13,2
46,S,2,13
51,T,14,-1
51,T,14,1
51,S,1,11
56,T,15,-1
56,T,15,0
56,S,0,13
59,T,16,-1
59,T,16,3
59,S,3,15
62,T,17,-1
62,T,17,2
62,S,2,13
66,T,18,-1
66,T,18,1
66,S,1,10
71,T,19,-1
71,T,19,0
71,S,0,15
76,T,20,-1
76,T,20,2
76,S,2,11
79,T,21,-1
79,T,21,3
79,S,3,9
84,T,22,-1
84,T,22,1
84,S,1,5
88,T,23,-1
88,T,23,0
88,S,0,9
92,T,24,-1
92,T,24,1
92,S,1,14
94,T,25,-1
94,T,25,3
94,S,3,12
99,T,26,-1
99,T,26,2
99,S,2,12
101,T,27,-1
101,T,27,0
101,S,0,11
105,T,28,-1
106,T,28,1
106,S,1,10
108,T,29,-1
108,T,29,3
108,S,3,5
113,T,30,-1
113,T,30,0
113,S,0,7
114,T,31,-1
114,T,31,2
114,S,2,16
116,T,32,-1
116,T,32,1
116,S,1,5
119,T,33,-1
119,T,33,3
119,S,3,5
122,T,34,-1
122,T,34,1
122,S,1,5
127,T,35,-1
127,T,35,1
127,S,1,10
131,T,36,-1
131,T,36,3
131,S,3,10
136,T,37,-1
136,T,37,2
136,S,2,16
141,T,38,-1
141,T,38,3
141,S,3,6
142,T,39,-1
142,T,39,0
142,S,0,9
143,T,40,-1
143,T,40,1
143,S,1,6
145,T,41,-1
147,T,41,3
147,S,3,5
148,T,42,-1
149,T,42,1
149,S,1,13
152,T,43,-1
152,T,43,3
152,S,3,7
157,T,44,-1
