time,actor,id,durationOrDestinationId
1,T,0,-1
1,T,0,3
1,S,3,8
5,T,1,-1
5,T,1,2
5,S,2,16
8,T,2,-1
8,T,2,0
8,S,0,8
13,T,3,-1
13,T,3,1
13,S,1,10
18,T,4,-1
18,T,4,0
18,S,0,15
23,T,5,-1
23,T,5,3
23,S,3,6
26,T,6,-1
26,T,6,1
26,S,1,6
30,T,7,-1
30,T,7,2
30,S,2,14
31,T,8,-1
31,T,8,3
31,S,3,9
32,T,9,-1
32,T,9,1
32,S,1,5
36,T,10,-1
36,T,10,0
36,S,0,15
37,T,11,-1
37,T,11,1
37,S,1,16
42,T,12,-1
42,T,12,3
42,S,3,6
45,T,13,-1
45,T,13,2
45,S,2,13
49,T,14,-1
49,T,14,3
49,S,3,15
53,T,15,-1
53,T,15,1
53,S,1,7
58,T,16,-1
58,T,16,2
58,S,2,13
60,T,17,-1
60,T,17,0
60,S,0,11
61,T,18,-1
61,T,18,1
61,S,1,14
64,T,19,-1
64,T,19,3
64,S,3,7
68,T,20,-1
68,T,20,0
69,T,21,-1
69,T,21,2
71,S,0,5
71,S,2,14
73,T,22,-1
73,T,22,3
73,S,3,13
76,T,23,-1
76,T,23,1
76,S,1,8
80,T,24,-1
80,T,24,0
80,S,0,16
85,T,25,-1
85,T,25,1
85,S,1,5
86,T,26,-1
86,T,26,2
86,S,2,13
91,T,27,-1
91,T,27,1
91,S,1,7
94,T,28,-1
94,T,28,3
94,S,3,6
95,T,29,-1
95,T,29,0
96,T,30,-1
96,S,0,12
96,T,30,0
101,T,31,-1
101,T,31,2
101,S,2,9
102,T,32,-1
102,T,32,1
102,S,1,14
107,T,33,-1
107,T,33,3
107,S,3,7
108,S,0,5
112,T,34,-1
112,T,34,2
112,S,2,5
113,T,35,-1
113,T,35,0
113,S,0,13
116,T,36,-1
116,T,36,3
116,S,3,9
117,T,37,-1
117,T,37,2
117,S,2,8
118,T,38,-1
118,T,38,1
118,S,1,6
119,T,39,-1
119,T,39,2
123,T,40,-1
123,T,40,1
124,S,1,16
125,S,2,10
127,T,41,-1
127,T,41,3
127,S,3,16
131,T,42,-1
131,T,42,0
131,S,0,15
136,T,43,-1
136,T,43,2
136,S,2,7
138,T,44,-1
138,T,44,0
139,T,45,-1
139,T,45,1
140,S,1,8
142,T,46,-1
142,T,46,2
143,S,2,13
146,S,0,14
147,T,47,-1
147,T,47,3
147,S,3,15
149,T,48,-1
149,T,48,1
149,S,1,14
152,T,49,-1
152,T,49,1
154,T,50,-1
154,T,50,2
155,T,51,-1
155,T,51,3
156,S,2,5
159,T,52,-1
159,T,52,2
161,S,2,15
162,S,3,6
163,T,53,-1
163,S,1,14
163,T,53,0
163,S,0,16
165,T,54,-1
165,T,54,0
168,T,55,-1
168,T,55,3
168,S,3,13
173,T,56,-1
173,T,56,3
175,T,57,-1
175,T,57,2
176,S,2,5
179,T,58,-1
179,S,0,5
179,T,58,1
179,S,1,7
181,S,3,6
183,T,59,-1
183,T,59,2
183,S,2,8
188,T,60,-1
188,T,60,3
188,S,3,11
193,T,61,-1
