time,value
0,0
334,0
335,1
691,1
692,0
1151,0
1152,1
1387,1
1388,0
1414,0
1415,1
1699,1
1700,0
1786,0
1787,1
2036,1
2037,0
2045,0
2046,1
2195,1
2196,0
2492,0
2493,1
2707,1
2708,0
3034,0
3035,1
3325,1
3326,0
4422,0
4423,1
4739,1
4740,0
4744,0
4745,1
4906,1
4907,0
5134,0
5135,1
5449,1
5450,0
5507,0
5508,1
5788,1
5789,0
5787,0
5788,1
5998,1
5999,0
6057,0
6058,1
6331,1
6332,0
6395,0
6396,1
6566,1
6567,0
6670,0
6671,1
6878,1
6879,0
7769,0
7770,1
8031,1
8032,0
8097,0
8098,1
8232,1
8233,0
8535,0
8536,1
8807,1
8808,0
9055,0
9056,1
9276,1
9277,0
9617,0
9618,1
9873,1
9874,0
9872,0
9873,1
10068,1
10069,0
10666,0
10667,1
10917,1
10918,0
10977,0
10978,1
11214,1
11215,0
11570,0
11571,1
11811,1
11812,0
11968,0
11969,1
12202,1
12203,0
12791,0
12792,1
12930,1
12931,0
13059,0
13060,1
13246,1
13247,0
13700,0
13701,1
13887,1
13888,0
14031,0
14032,1
14357,1
14358,0
14823,0
14824,1
15084,1
15085,0
15107,0
15108,1
15413,1
15414,0
15412,0
15413,1
15654,1
15655,0
16346,0
16347,1
16602,1
16603,0
16626,0
16627,1
16783,1
16784,0
17232,0
17233,1
17519,1
17520,0
17602,0
17603,1
17880,1
17881,0
17990,0
17991,1
18166,1
18167,0
18274,0
18275,1
18519,1
18520,0
